A->A,A	C->C,C	F->F,F	H->H,H	P->P,P	T->T,T	W->W,W	Z->Z,Z
175	5	34	0	0	0	0	27	0
176	4	35	0	0	0	0	21	0
177	3	35	0	0	0	0	27	0
178	12	35	0	0	0	0	20	0
179	4	35	0	0	0	0	23	0
180	6	34	0	0	0	0	25	0
181	6	34	0	0	0	0	27	0
182	5	35	0	0	0	0	21	0
183	5	36	0	0	0	0	28	0
184	4	35	0	0	0	0	23	0
185	9	35	0	0	0	0	23	0
186	6	34	0	0	0	0	22	0
187	7	33	0	0	0	0	23	0
188	3	35	0	0	0	0	31	0
189	9	34	0	0	0	0	19	0
190	5	35	0	0	0	0	21	0
191	5	34	0	0	0	0	25	0
192	5	35	0	0	0	0	24	0
193	2	35	0	0	0	0	27	0
194	4	35	0	0	0	0	24	0
195	6	34	0	0	0	0	23	0
196	6	35	0	0	0	0	19	0
197	5	35	0	0	0	0	25	0
198	8	35	0	0	0	0	23	0
199	4	35	0	0	0	0	25	0
200	5	35	0	0	0	0	30	0
201	5	35	0	0	0	0	25	0
202	4	35	0	0	0	0	25	0
203	8	35	0	0	0	0	26	0
204	4	34	0	0	0	0	25	0
205	8	35	0	0	0	0	21	0
206	7	35	0	0	0	0	19	0
207	3	35	0	0	0	0	26	0
208	6	35	0	0	0	0	24	0
209	14	34	0	0	0	0	16	0
210	4	35	0	0	0	0	23	0
211	3	36	0	0	0	0	30	0
212	6	34	0	0	0	0	21	0
213	7	35	0	0	0	0	19	0
214	3	33	0	0	0	0	30	0
215	10	34	0	0	0	0	20	0
216	5	35	0	0	0	0	25	0
217	5	35	0	0	0	0	22	0
218	5	35	0	0	0	0	24	0
219	2	35	0	0	0	0	25	0
220	8	35	0	0	0	0	23	0
221	8	32	0	0	0	0	21	0
222	9	34	0	0	0	0	21	0
223	6	35	0	0	0	0	21	0
224	4	35	0	0	0	0	26	0
225	7	34	0	0	0	0	24	0
226	8	34	0	0	0	0	22	0
227	6	35	0	0	0	0	23	0
228	6	34	0	0	0	0	27	0
229	8	34	0	0	0	0	20	0
230	4	34	0	0	0	0	24	0
231	10	35	0	0	0	0	26	0
