A->A,A	C->C,C	F->F,F	H->H,H	P->P,P	T->T,T	W->W,W	Z->Z,Z
753	9	35	0	0	0	0	18	0
754	3	34	0	0	0	0	23	0
755	3	35	0	0	0	0	28	0
756	7	34	0	0	0	0	23	0
757	6	34	0	0	0	0	22	0
758	3	33	0	0	0	0	26	0
759	7	34	0	0	0	0	23	0
760	6	34	0	0	0	0	23	0
761	4	35	0	0	0	0	23	0
762	8	35	0	1	0	0	26	0
763	7	35	0	0	0	0	26	0
764	5	35	0	0	0	0	22	0
765	7	35	0	0	0	0	23	0
766	10	34	0	0	0	0	22	0
767	4	35	0	0	0	0	27	0
768	4	35	0	0	0	0	28	0
769	7	34	0	0	0	0	18	0
770	6	34	0	0	0	0	21	0
771	6	35	0	0	0	0	19	0
772	3	35	0	0	0	0	24	0
773	5	35	0	0	0	0	23	0
774	7	34	0	0	0	0	21	0
775	9	35	0	0	0	0	21	0
776	4	35	0	0	0	0	25	0
777	7	35	0	0	0	0	18	0
778	3	34	0	0	0	0	24	0
779	9	33	0	0	0	0	23	0
780	4	35	0	0	0	0	22	0
781	3	34	0	0	0	0	24	0
782	6	35	0	0	0	0	21	0
783	4	35	0	0	0	0	22	0
784	5	34	0	0	0	0	29	0
785	3	34	0	0	0	0	24	0
786	5	34	0	0	0	0	22	0
787	6	35	0	0	0	0	24	0
788	4	33	0	0	0	0	29	0
789	9	35	0	0	0	0	21	0
790	7	35	0	0	0	0	22	1
791	5	33	0	0	0	0	27	0
792	7	34	0	0	0	0	22	0
793	7	35	0	0	0	0	21	0
794	3	35	0	0	0	0	27	0
795	4	35	0	0	0	0	21	0
796	3	34	0	0	0	1	28	0
797	5	35	0	0	0	0	21	0
798	6	35	0	0	0	0	26	0
799	13	35	0	0	0	0	16	0
800	3	34	0	0	0	0	27	0
801	8	34	0	0	0	0	23	0
802	3	35	0	0	0	0	27	0
803	6	34	0	0	0	0	20	0
804	4	35	0	0	0	0	25	0
805	11	33	0	0	0	0	16	0
806	4	34	0	0	0	0	29	0
807	8	34	0	0	0	0	22	0
808	4	35	0	0	0	0	23	0
809	6	34	0	0	0	0	22	0
810	4	35	0	0	0	0	25	0
811	6	34	0	0	0	0	20	0
812	8	34	0	0	0	0	20	0
813	4	34	0	0	0	0	22	0
814	6	34	0	0	0	0	24	0
815	5	35	0	1	0	0	23	0
816	6	35	0	0	0	0	23	0
817	2	34	0	0	0	0	22	0
818	8	33	0	0	0	0	20	0
819	6	35	0	0	0	0	18	0
820	4	34	0	0	0	0	26	0
821	7	34	0	0	0	0	18	0
822	5	35	0	0	0	0	23	0
823	8	35	0	0	0	0	26	0
824	6	35	0	0	0	0	25	0
825	2	35	0	0	0	0	26	0
826	6	35	0	0	0	0	22	0
827	2	33	0	0	0	0	28	0
828	3	35	0	0	0	0	27	0
829	9	34	0	0	0	0	21	0
830	7	34	0	0	0	0	26	0
831	5	34	0	0	0	1	27	0
832	9	35	0	0	0	0	22	0
833	3	33	0	0	0	0	30	0
834	6	35	0	0	0	0	23	0
835	3	35	0	0	0	0	22	0
836	5	35	0	0	0	0	26	0
837	4	35	0	0	0	0	19	0
838	5	34	0	0	0	0	30	0
839	4	35	0	0	0	0	26	0
840	2	35	0	0	0	0	28	0
841	4	33	0	0	0	0	24	0
842	8	34	0	1	0	0	19	0
843	6	34	0	0	0	0	21	0
844	3	35	0	0	0	0	24	0
845	6	34	0	0	0	1	19	0
846	7	34	0	0	0	0	24	0
847	7	34	0	0	0	0	22	0
848	4	35	0	0	0	0	27	0
849	4	35	0	0	0	0	24	0
850	6	35	0	0	0	0	25	0
851	5	35	0	0	0	0	22	0
852	9	35	0	0	0	0	15	0
853	5	35	0	0	0	0	25	0
854	4	35	0	0	0	0	27	0
855	7	34	0	0	0	0	23	0
856	4	35	0	0	0	0	27	0
857	2	34	0	0	0	0	27	0
858	6	35	0	0	0	0	25	0
859	6	34	0	0	0	0	24	0
860	4	34	0	0	0	0	26	0
861	7	35	0	0	0	0	23	0
862	7	35	0	0	0	0	23	0
863	6	35	0	0	0	0	19	0
864	5	34	0	0	0	0	24	0
865	9	33	0	0	0	0	21	0
866	5	35	0	0	0	0	27	0
867	7	34	0	0	0	0	24	0
868	11	34	0	0	0	0	18	0
869	5	35	0	0	0	0	25	0
870	7	35	0	0	0	0	23	0
871	3	34	0	0	0	1	25	0
872	6	35	0	0	0	0	25	0
873	6	35	0	0	0	0	22	0
874	5	34	0	0	0	0	24	0
875	7	35	0	0	0	0	24	0
876	6	35	0	0	0	0	23	0
877	8	35	0	0	0	0	18	0
878	3	35	0	0	0	0	29	0
879	7	34	0	0	0	0	25	0
880	6	35	0	0	0	0	23	0
881	3	34	0	0	0	0	30	0
882	7	35	0	0	0	0	19	1
883	10	35	0	0	0	0	18	0
884	2	34	0	0	0	0	27	0
885	4	35	0	0	0	0	24	0
886	6	35	0	0	0	0	25	0
887	7	34	0	0	0	0	23	0
888	7	34	0	0	0	0	23	0
889	6	35	0	0	0	0	26	0
890	4	35	0	0	0	0	30	0
891	3	35	0	0	0	0	25	0
892	5	35	0	0	0	0	25	0
893	5	35	0	0	0	0	26	0
894	6	34	0	0	0	0	26	0
895	7	35	0	0	0	0	28	0
896	3	35	0	0	0	0	20	0
897	8	35	0	0	0	0	24	0
898	6	35	0	1	0	0	23	0
899	5	34	0	0	0	0	25	0
900	6	35	0	1	0	0	23	0
901	5	35	0	0	0	0	26	1
902	9	35	0	0	0	0	18	0
903	4	35	0	0	0	0	26	0
904	10	34	0	0	0	0	19	0
905	6	34	0	0	0	0	26	0
906	4	35	0	0	0	0	30	0
907	10	35	0	0	0	0	19	0
908	10	34	0	0	0	0	18	0
909	5	35	0	0	0	0	24	0
910	8	35	0	0	0	0	16	0
911	10	34	0	0	0	0	19	0
912	5	35	0	0	0	0	22	0
913	7	35	0	0	0	0	25	0
914	7	35	0	1	0	0	23	0
915	4	34	0	0	0	0	26	0
916	3	35	0	0	0	0	25	0
917	6	34	0	0	0	0	26	0
918	7	35	0	0	0	0	18	0
919	3	35	0	0	0	1	24	0
920	2	35	0	0	0	0	30	0
921	6	34	0	0	0	0	21	0
922	7	34	0	0	0	0	26	0
923	4	34	0	0	0	0	26	0
924	11	35	0	0	0	0	19	0
925	4	35	0	0	0	0	24	0
926	4	34	0	0	0	0	26	0
927	7	35	0	0	0	0	22	0
928	11	35	0	0	0	0	20	0
929	5	34	0	0	0	0	24	0
930	7	35	0	0	0	0	18	0
931	10	35	0	0	0	0	17	0
932	7	35	0	0	0	0	22	0
933	9	35	0	0	0	0	19	0
934	8	35	0	0	0	0	20	0
935	3	34	0	0	0	0	25	0
936	8	34	0	0	0	0	20	0
937	5	35	0	0	0	0	26	0
938	3	35	0	0	0	0	22	0
939	4	35	0	0	0	0	23	0
940	6	35	0	0	0	0	20	0
941	6	35	0	0	0	0	27	0
942	8	33	0	0	0	0	19	0
943	3	35	0	0	0	0	26	0
944	5	35	0	0	0	0	25	0
945	5	35	0	0	0	0	23	0
946	6	34	0	0	0	0	26	0
947	8	34	0	0	0	0	18	0
948	5	34	0	0	0	0	28	0
949	4	35	0	0	0	0	26	0
950	3	35	0	0	0	0	26	0
951	7	35	0	0	0	0	23	0
952	4	35	0	0	0	0	25	0
953	8	35	0	0	0	0	21	0
954	5	35	0	0	0	0	26	0
955	5	35	0	0	0	0	22	0
956	5	35	0	0	0	0	28	0
957	8	35	0	0	0	0	21	0
958	6	35	0	0	0	0	22	0
959	3	35	0	0	0	0	22	0
960	8	35	0	0	0	0	24	0
961	7	34	0	0	0	0	28	0
962	9	35	0	0	0	0	21	0
963	5	33	0	0	0	0	24	0
964	5	35	0	0	0	0	26	0
965	6	34	0	0	0	0	20	0
966	6	34	0	0	0	0	26	0
967	5	34	0	0	0	0	27	0
968	3	34	0	0	0	0	26	0
969	9	35	0	0	0	0	17	0
970	10	35	0	0	0	0	20	0
971	4	35	0	0	0	0	23	0
972	7	34	0	0	0	0	23	0
973	6	35	0	0	0	0	24	0
974	2	34	0	0	0	0	30	0
975	3	35	0	0	0	0	23	0
976	9	34	0	0	0	0	22	0
977	6	35	0	0	0	0	24	0
978	9	35	0	0	0	0	21	0
979	4	33	0	0	0	0	23	0
980	3	33	0	0	0	0	24	0
981	6	35	0	0	0	0	20	0
982	2	35	0	0	0	0	27	0
983	9	35	0	0	0	0	18	0
984	6	34	0	0	0	0	22	0
985	5	34	0	0	0	0	21	0
986	4	35	0	1	0	0	25	0
987	6	34	0	0	0	0	25	0
988	6	34	0	0	0	0	23	0
989	5	35	0	0	0	0	22	0
990	4	35	0	0	0	0	24	0
991	8	34	0	0	0	0	17	0
992	2	34	0	0	0	0	27	0
993	14	35	0	0	0	0	16	0
994	10	35	0	0	0	0	19	0
995	5	34	0	0	0	0	24	0
996	4	34	0	0	0	0	29	0
997	6	35	0	0	0	0	27	0
998	4	34	0	0	0	0	27	0
999	8	35	0	0	0	0	23	0
1000	7	35	0	0	0	0	24	0
