Species,Specimen,Voucher,ETS,ITS,rbcL,rps16,trn,Total-markers
Evandra aristata,Eva_aristata-KW8974,Wilson 8974,1,0,0,0,0,1
Evandra pauciflora,Eva_pauciflora-MACF2684,Macfarlane 2684,0,0,0,0,1,1
Gahnia baniensis,Gah_ban-SIM,Simpson s.n.,0,0,1,0,0,1
Gahnia baniensis,Gah_baniensis-S2737,Simpson 2737,0,0,1,0,1,2
Gahnia setifolia,Gah_setifolia-AK288670,AK288670,0,1,0,0,0,1
Gahnia sieberiana,Gah_sieberiana-KW9913,KW9913,0,0,0,0,1,1
Gahnia trifida,Gah_trifida-G3904,Gibson 3904,0,0,0,0,1,1
Gahnia trifida,Gah_trifida-V1228,Verboom 1228,0,0,0,1,0,1
Gahnia tristis,Gah_tristis-Hir20361,Hirahara 20361,0,1,1,0,0,2
Gahnia tristis,Gah_tristis-Sh885,Shaw 885,1,0,0,1,0,2
Gahnia tristis,Gah_tristis-V1228,Verboom 1228,0,0,1,0,0,1
Gahnia xanthocarpa,Gah_xanthocarpa-AK289506,AK289506,0,1,0,0,0,1
Gymnoschoenus anceps,Gym_anceps-BR2110,Bruhl 2110,0,0,0,0,1,1
Gymnoschoenus sphaerocephalus,Gym_sphaerocephalus-AY725945,AY725945,0,0,1,0,0,1
Gymnoschoenus sphaerocephalus,Gym_sphaerocephalus-XZ,"Zhang , Bruhl & Hodgson",0,0,0,0,1,1
Lepidosperma diurnum,Lep_diurnum-B4124,Barrett 4124,0,1,0,0,0,1
Lepidosperma effusum,Lep_effusum-B4100,Barrett 4100,0,1,0,0,0,1
Lepidosperma ferricola,Lep_ferricola-B2499,Barrett & Ujetz 2499,0,0,0,0,1,1
Lepidosperma forsythii,Lep_forsythii-NORTH,North s.n.,0,1,0,0,0,1
Lepidosperma gahnioides,Lep_gahnioides-CR6011,Craig 6011,0,1,0,0,0,1
Lepidosperma gladiatum,Lep_gladiatum-HOD723,"Hodgon 723, Buhl & Hodgon",0,0,0,0,1,1
Lepidosperma laterale,Lep_laterale-BR2048,"Bruhl 2048, Telford, Fatemi",0,0,0,0,1,1
Lepidosperma laterale,Lep_longitudinale-HOD345,Hodgon 345,0,1,0,0,0,1
Lepidosperma longitudinale,Lep_longitudinale-V1236,Verboom 1236,1,0,1,1,0,3
Lepidosperma pubisquameum,Lep_pubisquameum-CRAN16366,Cranfield 16366,0,1,0,0,0,1
Lepidosperma rostratum,Lep_rostratum-KEIGH,Keighery & Keighery s.n.,0,0,0,0,1,1
Lepidosperma tetraquetrum,Lep_tetraquetrum-DAV9510,Davis 9510,0,1,0,0,0,1
Lepidosperma tortuosum,Lep_tortuosum-C17470,Coveny 17470,1,0,0,1,0,2
Lepidosperma tortuosum,Lep_tortuosus-BR2357,Bruhl 2357,0,1,0,0,0,1
Machaerina angustifolia,Mac_angustifolia-MOR1253,Morden 1253,0,1,0,0,0,1
Machaerina austrobrasiliensis,Mac_austrobrasiliensis-TREV858,Trevisan 858,0,0,0,0,1,1
Machaerina gunnii,Mac_gunnii-BR2600,Bruhl 2600,0,0,0,0,1,1
Machaerina iridifolia,Mac_iridifolia-AHPENG1742,Ah-Peng 1742,0,0,1,1,0,2
Machaerina mariscoides,Mac_mariscoides-JO9195,Johns 9195,0,0,1,0,0,1
Machaerina mariscoides var. meyenii,Mac_mariscoides-MOR1263,Morden 1263,0,1,0,0,0,1
Machaerina mariscoides var. meyenii,Mac_mariscoides-REY098,Reynolds 098,0,1,0,0,0,1
Machaerina rubiginosa,Mac_rubiginosa-Br1859,Bruhl 1859,1,0,0,0,0,1
Machaerina rubiginosa,Mac_rubiginosa-Hoshino19254,Hoshino 19254,0,1,1,0,0,2
Machaerina rubiginosa,Mac_rubiginosa-W9456,Wilson 9456,0,0,1,0,0,1
Mesomelaena graciliceps,Mes_graciliceps-B5028,"Barrett, Sandiford & Rathbone RLB 5028",0,0,0,0,1,1
Mesomelaena tetragona,Mes_tetragona-Ch2227,Chase 2227,0,0,0,1,0,1
Mesomelaena tetragona,Mes_tetragona-Y12949,Y12949,0,0,1,0,0,1
Morelotia gahniiformis,Mor_gahniiformis-HER1197,Herbst 1197,0,0,1,0,0,1
Morelotia gahniiformis,Mor_gahniiformis-MOR2117,Morden 2117,0,1,0,0,1,2
Neesenbeckia punctoria,Nee_punctoria-BR1731,Bruhl 1731,0,1,0,0,0,1
Neesenbeckia punctoria,Nee_punctoria-M6375,Muasya 6375,0,0,0,1,0,1
Neesenbeckia punctoria,Nee_punctoria-V650,Verboom 650,1,0,1,0,1,3
Oreobolus distichus,Ore_distichus-BR1870,Bruhl 1870,0,1,0,0,0,1
Oreobolus distichus,Ore_distichus-C5373,Coveny 5373,1,0,0,0,0,1
Oreobolus furcatus,Ore_furcatus-CARL21111,Calquist 21111,0,1,0,0,0,1
Oreobolus furcatus,Ore_furcatus-MOR1861,Morden 1861,0,1,0,0,0,1
Oreobolus kuekenthalii,Ore_kuekenthalii-SIM2659,Simpson 2659,0,1,0,0,0,1
Oreobolus kuekenthalii,Ore_kuekenthalii-Y12972,Y12972,0,0,1,0,0,1
Oreobolus obtusangulus,Ore_obtusangulus-BR2237,Bruhl 237,0,1,0,0,0,1
Oreobolus obtusangulus,Ore_obtusangulus-MOORE2817,Moore 2817,0,1,0,0,0,1
Oreobolus oligocephalus,Ore_oligocephalus-BR1889A,Bruhl 1889A,0,1,0,0,1,2
Oreobolus oxycarpus,Ore_oxycarpus-BL18320,Blake 18320,0,1,0,0,0,1
Oreobolus pectinatus,Ore_pectinatus-AF307927,AF307927,0,0,1,0,0,1
Oreobolus pectinatus,Ore_pectinatus-AK289108,AK289108,0,1,0,0,0,1
Oreobolus pectinatus,Ore_pectinatus-MEL6528,Melville & Connor 6528,1,1,0,0,1,3
Oreobolus pumilio,Ore_pumilio-BR1879C,Bruhl 1879C,0,1,0,0,1,2
Oreobolus strictus,Ore_strictus-Mc143395,McMillaan 143395,0,0,0,0,1,1
Ptilothrix deusta,Pti_deusta-BR2055,Bruhl 2055,0,1,0,0,0,1
Ptilothrix deusta,Pti_deusta-COV17471,Coveny R.G. 17471,0,0,1,0,0,1
Ptilothrix deusta,Pti_deusta-G46,Gibbs 46,1,0,0,0,0,1
Ptilothrix deusta,Pti_deusta-XZ1,"Zhang 1, Bruhl, Copeland & Knox",0,0,0,0,1,1
Reedia spathacea,Ree_spathacea-HOD740,Hodgon 740 & Bruhl,0,0,0,0,1,1
Reedia spathacea,Ree_spathacea-MWC35634,MWC 35634,0,0,1,0,0,1
Rhynchospora pungens,Rhy_pungens-BR2278,"Bruhl 2278, Guaglianone, Guarise & Sotelo",0,0,0,0,1,1
Rhynchospora rugosa subsp. Brownii,Rhy_rugosa-V616,Verboom 616,0,0,0,0,1,1
Tetraria arundinacea,Tet_arundinacea-W9935,Wilson 9935,0,0,0,0,1,1
Tetraria bromoides,Tet_bromoides-V641,Verboom 641,0,0,1,0,0,1
Tetraria burmanni,Tet_burmanni-V1219,Verboom 1219,1,0,0,0,1,2
Tetraria capillacea,Tet_capillacea-327,TE2016_327,0,0,0,1,1,2
Tetraria capillacea,Tet_capillacea-V1313,Verboom 1313,0,0,0,0,1,1
Tetraria capillaris,Tet_capillaris-AK286807,AK286807,0,1,0,0,0,1
Tetraria capillaris,Tet_capillaris-BR2106,Bruhl 2106 & Watson,0,0,0,0,1,1
Tetraria capillaris,Tet_capillaris-BR2414,Bruhl 2414,0,1,0,0,1,2
Tetraria capillaris,Tet_capillaris-BR2484,Bruhl 2484,0,1,0,0,1,2
Tetraria capillaris,Tet_capillaris-W9464,Wilson 9464,1,0,1,0,0,2
Tetraria cernua,Tet_cernua-V707,Verboom 707,1,0,0,1,0,2
Tetraria compressa,Tet_compressa-V653,Verboom 653,1,0,1,0,1,3
Tetraria crinifolia,Tet_crinifolia-V638,Verboom 638,0,0,1,0,0,1
Tetraria eximia,Tet_eximia-V647,Verboom 647,1,0,1,0,1,3
Tetraria eximia,Tet_eximia-V720,Verboom 720,0,0,1,0,0,1
Tetraria fasciata,Tet_fasciata-305,TE2016_305,1,0,1,1,0,3
Tetraria fasciata,Tet_fasciata-313,TE2016_313,0,0,1,1,0,2
Tetraria fasciata,Tet_fasciata-314,TE2016_314,0,0,1,0,0,1
Tetraria fasciata,Tet_fasciata-M6478,Muasya 6478,0,0,0,1,0,1
Tetraria fasciata,Tet_fasciata-V644,Verboom 644,1,0,0,0,1,2
Tetraria ferruginea,Tet_ferruginea-V527,Verboom 527,1,0,0,0,1,2
Tetraria fimbriolata,Tet_fimbriolata-V533,Verboom 533,1,0,0,0,1,2
Tetraria flexuosa,Tet_flexuosa-V505,Verboom 505,1,0,1,0,1,3
Tetraria fourcadei,Tet_fourcadei-V633,Verboom 633,1,0,0,0,1,2
Tetraria involucrata,Tet_involucrata-BEL33,Balele K. 33,0,0,1,0,0,1
Tetraria involucrata,Tet_involucrata-V661,Verboom 661,1,0,1,0,1,3
Tetraria maculata,Tet_maculata-V528,Verboom 528,0,0,0,0,1,1
Tetraria cf. microstachys,Tet_microstachys-V513,Verboom 513,0,0,1,0,0,1
Tetraria microstachys,Tet_microstachys-V640,Verboom 640,1,0,1,0,1,3
Tetraria nigrovaginata,Tet_nigrovaginata-V500,Verboom 500,1,0,1,0,1,3
Tetraria pleosticha,Tet_pleosticha-V639,Verboom 639,1,0,0,0,0,1
Tetraria pubescens,Tet_pubescens-V651,Verboom 651,1,0,0,0,0,1
Tetraria pygmaea,Tet_pygmaea-V1276,Verboom 1276,1,0,0,0,1,2
Tetraria raynaliana,Tet_raynaliana-KW9940,Wilson 9940,0,0,0,0,1,1
Tetraria secans,Tet_secans-V658,Verboom 658,1,0,1,0,1,3
Tetraria spiralis,Tet_spiralis-V719,Verboom 719,1,0,0,0,0,1
Tetraria thermalis,Tet_thermalis-V643,Verboom 643,1,0,1,0,1,3
Tetraria triangularis,Tet_triangularis-BRIT321,Britton 321,0,0,1,0,0,1
Tetraria triangularis,Tet_triangularis-BRIT322,Britton 322,0,0,1,0,0,1
Tetraria triangularis,Tet_triangularis-BRIT354,Britton 354,0,0,1,0,0,1
Tetraria triangularis,Tet_triangularis-BRIT359,Britton 359,0,0,1,1,0,2
Tetraria triangularis,Tet_triangularis-V518,Verboom 518,1,0,0,0,1,2
Tetraria ustulata,Tet_ustulata-V501,Verboom 501,0,0,1,0,1,2
Tetraria ustulata,Tet_ustulata-V664,Verboom 664,1,0,1,0,0,2
Tetrariopsis octandra,Tetr_octandra-B5050,Barrett RLB 5050,0,0,0,0,1,1
Tetrariopsis octandra,Tetr_octandra-V1242,Verboom 1242,0,0,1,1,0,2
Trianoptiles capensis,Tria_capensis-M3160,Muasya 3160,1,0,0,1,1,3
Trianoptiles solitaria,Tria_solitaria-Br1756,Bruhl 1756,0,0,0,0,1,1
Trianoptiles solitaria,Tria_solitaria-Hosk1765,Hosking 1765,0,0,0,0,1,1
Tricostularia aphylla,Tric_aphylla-B2753,Barrett RLB 2753,0,0,0,0,1,1
Tricostularia aphylla,Tric_aphylla-KEIGH5082,Keighery & Gibson 5082,0,0,0,0,1,1
Tricostularia exsul,Tric_exsul-B4389,"Barrett, Moody & McQuoid RLB 4389",0,0,0,0,1,1
Tricostularia neesii,Tric_neesii-B5020,Barrett 5020,0,1,0,0,0,1
Tricostularia paludosa,Tric_paludosa-BR2655,Bruhl 2655,0,0,0,0,1,1
Tricostularia pauciflora,Tric_pauciflora-G53,Gibbs 53,1,0,0,0,0,1
Tricostularia pauciflora,Tric_pauciflora-KW9910,Wilson 9910,0,0,0,0,1,1
Tricostularia undulata,Tric_undulata-KW9681,Wilson 9681,0,0,0,0,1,1
Tricostularia undulata,Tric_undulata-KW9699,Wilson 9699,0,0,0,0,1,1
Schoenus acuminatus,acuminatus-B5340,Barrett 5340,0,1,0,0,0,1
Schoenus adnatus c.f.,adnatus-V1144,Verboom 1144,1,0,1,1,0,3
Schoenus albovaginatus,albovaginatus-vm2,van Mazijk 002,0,0,1,0,0,1
Schoenus apogon var. caespitans,apogon-AK308178,AK308178,0,1,0,0,0,1
Schoenus apogon var. apogon,apogon-B5172,Barrett 5172,0,1,0,0,0,1
Schoenus apogon var. apogon,apogon-B5225,Barrett 5225,0,1,0,0,0,1
Schoenus apogon var. apogon,apogon-B5230,Barrett 5230,0,1,0,0,0,1
Schoenus apogon,apogon-BR1860,Bruhl 1860 & Quinn,0,0,0,0,1,1
Schoenus apogon var. apogon,apogon-BR2515,Bruhl 2515,0,1,0,0,0,1
Schoenus apogon var. apogon,apogon-BR2746A,Bruhl 2746A,0,1,0,0,0,1
Schoenus apogon,apogon-CHR552946,Courtney 552946,0,0,1,0,0,1
Schoenus apogon var. apogon,apogon-COPE4361,Copeland 4361,0,1,0,0,0,1
Schoenus apogon var. apogon,apogon-DUR2291,Duretto 291,0,1,0,0,0,1
Schoenus apogon var. apogon,apogon-G126,Gibbs 126,0,1,0,0,0,1
Schoenus apogon var. apogon,apogon-G35,Gibbs 35,0,1,0,0,0,1
Schoenus apogon,apogon-Hoshino18971,Hoshino 18971,0,0,1,0,0,1
Schoenus arenicola,arenicola-269,TE2016_269,1,0,1,0,0,2
Schoenus arenicola,arenicola-320,TE2016_320,1,0,1,1,0,3
Schoenus arenicola,arenicola-H989,Helme 2989,0,0,0,0,1,1
Schoenus armeria,armeria-B5260,Barrett 5260,0,1,0,0,0,1
Schoenus armeria,armeria-B5855,Barrett 5855,0,1,0,0,0,1
Schoenus armeria,armeria-B5898,Barrett 5898,0,1,0,0,0,1
Schoenus aureus,aureus-245,TE2016_245,0,0,1,0,0,1
Schoenus aureus,aureus-336,TE2016_336,0,0,1,0,1,2
Schoenus aureus,aureus-337,TE2016_337,0,0,1,0,0,1
Schoenus auritus,auritus-193,TE2016_193,1,0,1,0,0,2
Schoenus auritus,auritus-244,TE2016_244,1,0,1,0,1,3
Schoenus auritus,auritus-245,TE2016_245,0,0,0,1,0,1
